2025-09-01 21:05:27.400 INFO  [restartedMain] com.farmflow.FarmFlowApplication - Starting FarmFlowApplication using Java 21.0.4 with PID 22182 (/mnt/NewVolume/code/agri-project/FarmFlow/target/classes started by pranjal in /mnt/NewVolume/code/agri-project/FarmFlow)
2025-09-01 21:05:27.403 INFO  [restartedMain] com.farmflow.FarmFlowApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-01 21:05:27.483 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-09-01 21:05:27.484 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-09-01 21:05:29.864 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-09-01 21:05:30.212 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 337 ms. Found 10 JPA repository interfaces.
2025-09-01 21:05:30.745 INFO  [restartedMain] o.s.cloud.context.scope.GenericScope - BeanFactory id=47839f4f-217f-380c-b734-1d72029a67cf
2025-09-01 21:05:31.788 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-01 21:05:31.802 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-01 21:05:31.803 INFO  [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-09-01 21:05:31.804 INFO  [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-09-01 21:05:31.852 INFO  [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-01 21:05:31.852 INFO  [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4367 ms
2025-09-01 21:05:32.178 INFO  [restartedMain] c.f.service.impl.JwtServiceImpl - JwtServiceImpl instantiated
2025-09-01 21:05:32.638 INFO  [restartedMain] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-09-01 21:05:32.701 INFO  [restartedMain] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.13.Final
2025-09-01 21:05:32.745 INFO  [restartedMain] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-09-01 21:05:33.094 INFO  [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-09-01 21:05:33.129 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
